BEIJING_HR	    北京3公里区域模式
LSE		    地表比辐射率
LSE_0		    地表比辐射率_0
LSE_1		    地表比辐射率_1
LSE_2		    地表比辐射率_2
LST		    地表温度
MANUAL_ANALYSIS	    主观分析
MARINE_WEATHER_PHENOMENON  海洋天气现象
MAX_UGRD	    极大风U风量
MAX_VGRD	    极大风V风量
MAX_WIND	    极大风
MAX_WIND_MINUTE	    10分钟极大风速填图
MAXIMUM_RELATIVE_HUMIDITY  最大相对湿度
MAXIMUM_TEMPERATURE 最高温度
MAXIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_3_HOURS  过去3小时2米最高温度
MAXIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_6_HOURS  过去6小时2米最高温度
MAXIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_6_HOURS_UNCLIPPED  过去6小时2米最高温度(未裁剪)
MAXIMUM_TOTAL_PRECIPITATION_RATE_IN_THE_LAST_3_HOURS	过去3小时最大总降水率
MCDC                中云量
MEAN_PERIOD_OF_COMBINED_WIND_WAVES_AND_SWELL      风浪和涌浪叠加的平均周期
MEAN_PERIOD_OF_SWELL_WAVES	涌浪平均周期
MEAN_PERIOD_OF_WIND_WAVES	风浪平均周期
MERCATOR	    麦卡托投影
MERIDIONAL_FLUX_OF_GRAVITY_WAVE_STRESS  重力波压力经向通量
MET_10		    MET_10卫星
MIDDLE_CLOUD	    中云
MIDDLE_CLOUD_BOTTOM 中云底
MIDDLE_CLOUD_TOP    中云顶
MINIMUM_RELATIVE_HUMIDITY  最小相对湿度
MINIMUM_TEMPERATURE 最低温度
MINIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_3_HOURS  过去3小时2米最低温度
MINIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_6_HOURS  过去6小时2米最低温度
MINIMUM_TEMPERATURE_AT_2_METRES_IN_THE_LAST_6_HOURS_UNCLIPPED  过去6小时2米最低温度(未裁剪)
MIXING_LAYER	    混合层
MOMENTUM_FLUX_U-COMPONENT U分量动量通量
MOMENTUM_FLUX_V-COMPONENT V分量动量通量
MPV_HOR		    湿位涡水平分量
MPV_VER		    湿位涡垂直分量
MSLP_(ETA_MODEL_REDUCTION)   海平面气压(ETA_MODEL_REDUCTION)
MULTI_MODEL_RAIN06  多模式动态权重集成6小时定量降水
MWD			平均波向
MWD_UNCLIPPED		平均波向(未裁剪)
MWP			平均波周期
MWP_UNCLIPPED		平均波周期(未裁剪)
NATURAL_LOGARITHM_OF_PRESSURE_IN_PA  地面气压对数
NCEP_WAVE	    NCEP海浪模式
NEGATIVE_TWENTY_DEGREE_LEVEL -20度层高度
NET_LONG_WAVE_RADIATION_FLUX  地表热辐射
NET_LONG-WAVE_RADIATION_FLUX  地表热辐射
NET_SHORT_WAVE_RADIATION_FLUX  地表太阳辐射
NET_SHORT_WAVE_RADIATION_FLUX_CLEAR_SKY   晴空净短波辐射通量
NMC		    中央台
OCA		    海洋气溶胶
OCAAOD_0	    海洋气溶胶_0
OCAAOD_1	    海洋气溶胶_1
OCAAOD_2	    海洋气溶胶_2
OCAAOD_3	    海洋气溶胶_3
OCAAOD_4	    海洋气溶胶_4
OCAAOD_5	    海洋气溶胶_5
OCAAOD_6	    海洋气溶胶_6
OCAASI		    海洋气溶胶ASI
OCACMR		    海洋气溶胶CMR
OCAFMR		    海洋气溶胶FMR
OHP		    一小时累积降水
OLR		    射出长波辐射
OROGRAPHY	    地形
OZONE_MIXING_RATIO  臭氧混合比
PER_CENT_FROZEN_PRECIPITATION  冻雨百分比
PLANETARY_BOUNDARY  行星边界
PLANETARY_BOUNDARY_LAYER_HEIGHT  行星边界层高度
PLANT_CANOPY_SURFACE_WATER  植被地表水
PLOT		    填图
PLOT_10MIN	    国家站区域站10分钟地面填图
PLOT_5MIN	    国家站区域站5分钟地面填图
PLOT_ALL	    国家站区域站1小时自动站填图
PLOT_GLOBAL_1H	    全球1小时地面填图
PLOT_GLOBAL_3H	    全球3小时地面填图
PLOT_NATIONAL	    国家站3小时地面填图
PLOT_NATIONAL_1H    国家站1小时地面填图
PLPL		    气块抬升起始气压(层)
PM25_1H		    1小时PM2.5填图
POTENTIAL_EVAPORATION_RATE  潜在蒸发率
PRAT		    降水率
PRECIPITATION_TYPE  降水相态
PRECIPITATION_TYPE_UNCLIPPED 降水相态(未裁剪)
PRE_QC		    雷达质量控制前数据
PRES                气压
PRES_CHANGE_24H_NATIONAL  国家站24小时变压
PRES_CHANGE_3H_NATIONAL  国家站3小时变压
PRIMARY_WAVE_DIRECTION	主波波向
PRIMARY_WAVE_MEAN_PERIOD	主波平均周期
PRODUCTS	    雷达PUP产品
PRMSL               海平面气压
PRMSL_CHANGE_24H    24小时变压
PRMSL_CHANGE_48H    48小时变压
PRMSL_NATIONAL      国家站海平面气压
PRMSL_UNCLIPPED	    海平面气压(未裁剪)
PVORT               位涡
PWAT                可降水量
QC_BY_FSOL	    FSOL质量控制产品	
QPE		    定量降水估测
QPE001		    1小时降水估计
QPE003		    3小时降水估计
QPE006		    6小时降水估计
QPE024		    24小时降水估计
QREF		    全国雷达基本反射率拼图
RADAR_COMBINATION_REFLECTIVITY  雷达组合反射率
RADAR_REFLECTIVITY  雷达反射率
RAIN01		    1小时降水
RAIN01_ALL_STATION  国家站区域站1小时降水
RAIN01_BI_DATA_SOURCE  二源融合1小时降水
RAIN01_NATIONAL     国家站1小时降水
RAIN01_TRI_DATA_SOURCE 三源融合1小时降水
RAIN03              3小时降水
RAIN03_BI_DATA_SOURCE  二源融合3小时降水
RAIN03_NATIONAL     国家站3小时降水
RAIN03_TRI_DATA_SOURCE 三源融合3小时降水
RAIN03_UNCLIPPED    3小时降水(未裁剪)
RAIN06              6小时降水
RAIN06_NATIONAL     国家站6小时降水
RAIN06_UNCLIPPED    6小时降水(未裁剪)
RAIN12              12小时降水
RAIN12_NATIONAL     国家站12小时降水
RAIN12_UNCLIPPED    12小时降水(未裁剪)
RAIN24              24小时降水
RAIN24_NATIONAL     国家站24小时降水
RAIN24_NATIONAL_05-05  国家站24小时降水_05-05
RAIN24_NATIONAL_08-08  国家站24小时降水_08-08
RAIN24_NATIONAL_14-14  国家站24小时降水_14-14
RAIN24_NATIONAL_20-20  国家站24小时降水_20-20
RAIN24_UNCLIPPED    24小时降水(未裁剪)
RAIN_LARGE_SCALE01  1小时大尺度降水
RAIN_LARGE_SCALE03  3小时大尺度降水
RAIN_LARGE_SCALE06  6小时大尺度降水
RAIN_LARGE_SCALE12  12小时大尺度降水
RAIN_LARGE_SCALE24  24小时大尺度降水
RAIN_MIXING_RATIO   雨水混合比
RAINC01		    1小时对流性降水
RAINC03             3小时对流性降水
RAINC03_UNCLIPPED   3小时对流性降水(未裁剪)
RAINC06             6小时对流性降水
